"WO #",Unit,"Unit Zone","Property Group",Creation,Activation,"Expected Completion",Closed,"Block Type","Block Start","Block End",Title,Vendor,Operator,Priority,"Show in Owner Area","Charge Type",Status,"Unit Status",Age,Originator,Processor
42042223,"Florida Dreams",,"Northern Portfolio","08/27/26 12:04 pm","08/27/26 12:04 pm",,N/A,"Not Blocked", , ,HVAC,"Aap Air, LLC",N/A,N/A,No,"No Charge",Active,Occupied,0,Management,"Grajeda Raymundo"
42041935,"Shaker Of Salt",,"Northern Portfolio","08/27/26 11:49 am","08/27/26 11:49 am",,N/A,"Not Blocked", , ,Pool,"Prime Pool Care LLC",N/A,N/A,No,"No Charge",Active,Occupied,0,Management,"Grajeda Raymundo"
42041094,"Shaker Of Salt",,"Northern Portfolio","08/27/26 11:06 am","08/27/26 11:06 am",,N/A,"Not Blocked", , ,"Multiple maintenance issue","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,0,Management,"Grajeda Raymundo"
42027936,"Sandalfoot 3B3",,Sandalfoot,"08/26/26 03:43 pm","08/26/26 03:43 pm",,N/A,"Not Blocked", , ,"install new ceiling fan in living room","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,1,Management,"Garcia Kyle"
42027918,"Sandalfoot 5B3",,Sandalfoot,"08/26/26 03:42 pm","08/26/26 03:42 pm",,N/A,"Not Blocked", , ,"install new ceiling fan","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,1,Management,"Garcia Kyle"
42027876,"Sandalfoot 2C3",,Sandalfoot,"08/26/26 03:38 pm","08/26/26 03:38 pm",,N/A,"Not Blocked", , ,"install new ceiling fan back lanai",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,1,Management,"Garcia Kyle"
42025394,"The Nest",,"Northern Portfolio","08/26/26 01:31 pm","08/26/26 01:31 pm",08/26/26,N/A,"Not Blocked", , ,"Lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,1,Management,"McNamara Heather"
42022958,"Sandalfoot 2C3",,Sandalfoot,"08/26/26 12:01 pm","08/26/26 12:01 pm",,N/A,"Not Blocked", , ,"Door Stopper coming untreaded and screen door screws are loose or gone","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,1,Management,"Dallman Autumn"
42020342,"Tee Time",,"Northern Portfolio","08/26/26 09:21 am","08/26/26 09:21 am",08/27/26,N/A,"Not Blocked", , ,"lynx lock install","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,1,Management,"McNamara Heather"
42020335,"Fore Seasons",,"Northern Portfolio","08/26/26 09:20 am","08/26/26 09:20 am",08/27/26,N/A,"Not Blocked", , ,"lynx lock install","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,1,Management,"McNamara Heather"
42005901,"Links & Leisure",,Venice,"08/25/26 12:54 pm","08/25/26 12:54 pm",08/25/26,N/A,"Not Blocked", , ,"garage door remote","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,2,Management,"McNamara Heather"
41989897,"Golden Beach #1",,"Sanibel Portfolio","08/24/26 03:39 pm","08/24/26 03:39 pm",08/24/26,N/A,"Not Blocked", , ,"fridge/ freezer","Sanibel Appliance Repair",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,3,Management,"McNamara Heather"
41986908,"Bayside Paradise",,"Northern Portfolio","08/24/26 01:29 pm","08/24/26 01:29 pm",08/24/26,N/A,"Not Blocked", , ,"fire inspection checklist","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,3,Management,"McNamara Heather"
41983461,"Palm Garden",,Seasonal,"08/24/26 10:48 am","08/24/26 10:48 am",,N/A,"Not Blocked", , ,"Ceiling leak","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Dirty,3,Management,"Grajeda Raymundo"
41957602,"Golden Beach Haven",,Venice,"08/22/26 05:17 pm",,,N/A,"Not Blocked", , ,HVAC,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,5,Management,"Grajeda Raymundo"
41955473,"Sandalfoot 5A1",,Sandalfoot,"08/22/26 03:22 pm",,,N/A,"Not Blocked", , ,"doors in front of air handler need to be cleaned and filter changed.",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,5,"Maintenance App","Johnson Michelle"
41955419,"Sandalfoot 5A1",,Sandalfoot,"08/22/26 03:17 pm",,,N/A,"Not Blocked", , ,"Hardware needs tighten",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,5,"Maintenance App","Johnson Michelle"
41955316,"Sandalfoot 4D3",,Sandalfoot,"08/22/26 03:07 pm",,,N/A,"Not Blocked", , ,4D3,N/A,N/A,N/A,No,Owner,Pending,"Pending Inspection",5,Management,"Armstrong Norman"
41955005,"Gulf & Bay Bayside - 1206",,GBB,"08/22/26 02:49 pm","08/22/26 03:11 pm",,N/A,"Not Blocked", , ,Maintnace,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41954912,"Gulf & Bay Bayside - 1206",,GBB,"08/22/26 02:46 pm",,,N/A,"Not Blocked", , ,Linen,N/A,"Sandra Soria Frausto",N/A,No,"No Charge",Pending,Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41954784,"Gulf & Bay Bayside - 1206",,GBB,"08/22/26 02:39 pm","08/22/26 03:10 pm",,N/A,"Not Blocked", , ,"bedroom 1","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41954102,"Sandalfoot 1A3",,Sandalfoot,"08/22/26 01:51 pm",,,N/A,"Not Blocked", , ,1A3,N/A,"Ben Kobe",N/A,No,"No Charge",Pending,Occupied,5,Management,"Armstrong Norman"
41954009,"Dreams Of Paradise",,"Northern Portfolio","08/22/26 01:43 pm","08/22/26 01:43 pm",,N/A,"Not Blocked", , ,"Lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",5,Management,"Grajeda Raymundo"
41952431,"7th Heaven",,"Northern Portfolio","08/22/26 12:47 pm","08/25/26 12:47 pm",,N/A,"Not Blocked", , ,"primary bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,5,"Maintenance App","Santana Angel"
41952418,"7th Heaven",,"Northern Portfolio","08/22/26 12:45 pm",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,5,"Maintenance App","Santana Angel"
41952240,"Signal Inn - Unit 10",,"Signal Inn","08/22/26 12:34 pm",,,N/A,"Not Blocked", , ,"Broken slider lock",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,5,"Maintenance App","Johnson Michelle"
41951856,"Gulf & Bay Bayside - 1200",,GBB,"08/22/26 12:01 pm","08/22/26 04:14 pm",,N/A,"Not Blocked", , ,bathroom,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41951707,"Signal Inn - Unit 02",,"Signal Inn","08/22/26 11:50 am",,,N/A,"Not Blocked", , ,"deck slider lock hard to get locked",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,5,"Maintenance App","Johnson Michelle"
41951697,"Gulf & Bay Bayside - 1200",,GBB,"08/22/26 11:49 am","08/22/26 04:29 pm",,N/A,"Not Blocked", , ,oven,"Alpha Appliance Solutions LLC",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41951691,"Dreams Of Paradise",,"Northern Portfolio","08/22/26 11:49 am","08/22/26 01:42 pm",,N/A,"Not Blocked", , ,"Guest bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",5,"Maintenance App","Santana Angel"
41951393,"Dreams Of Paradise",,"Northern Portfolio","08/22/26 11:22 am","08/22/26 01:39 pm",,N/A,"Not Blocked", , ,pool,"Splash Pros LLC",N/A,N/A,No,"No Charge",Active,"Pending Inspection",5,"Maintenance App","Santana Angel"
41951387,"Gulf & Bay Bayside - 1269",,GBB,"08/22/26 11:22 am","08/22/26 02:51 pm",,N/A,"Not Blocked", , ,"Various maintenance iss","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,5,"Maintenance App","Matthews Travis"
41950857,"Sandy Pointe",,"Northern Portfolio","08/22/26 10:44 am","08/22/26 03:43 pm",,N/A,"Not Blocked", , ,pool,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,5,"Maintenance App","Santana Angel"
41950308,"Bayside Paradise",,"Northern Portfolio","08/22/26 10:00 am","08/22/26 10:53 am",,N/A,"Not Blocked", , ,"Guest bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,5,"Maintenance App","Santana Angel"
41950164,"Bayside Paradise",,"Northern Portfolio","08/22/26 09:46 am",,,N/A,"Not Blocked", , ,"Coffee pot",N/A,"Sandra Soria Frausto",N/A,No,"No Charge",Pending,Occupied,5,"Maintenance App","Santana Angel"
41950146,"Bayside Paradise",,"Northern Portfolio","08/22/26 09:44 am","08/22/26 11:20 am",,N/A,"Not Blocked", , ,"kitchen - refrigerator","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,5,"Maintenance App","Santana Angel"
41918608,"Gulf & Bay Bayside - 1385",,GBB,"08/20/26 12:42 pm",,,N/A,"Not Blocked", , ,dryer,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,7,"Maintenance App","Santana Angel"
41918344,"Gulf & Bay Bayside - 1385",,GBB,"08/20/26 12:28 pm","08/20/26 12:37 pm",,N/A,"Not Blocked", , ,"Air filter",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,7,"Maintenance App","Santana Angel"
41917778,"Villa Milano",,LUXURY,"08/20/26 11:54 am","08/20/26 11:54 am",08/20/26,N/A,"Not Blocked", , ,"pool screen damage","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,7,Management,"McNamara Heather"
41917672,"Gulf & Bay Bayside - 1260",,GBB,"08/20/26 11:46 am","08/20/26 12:40 pm",,N/A,"Not Blocked", , ,"Air filter",N/A,N/A,N/A,No,"No Charge",Active,Occupied,7,"Maintenance App","Santana Angel"
41917049,"Gulf & Bay Bayside - 1346",,GBB,"08/20/26 11:15 am","08/20/26 12:45 pm",,N/A,"Not Blocked", , ,"Air filter",N/A,N/A,N/A,No,"No Charge",Active,Reclean,7,"Maintenance App","Santana Angel"
41916909,"Gulf & Bay Bayside - 1346",,GBB,"08/20/26 10:58 am",,,N/A,"Not Blocked", , ,mirrors,N/A,N/A,N/A,No,"No Charge",Pending,Reclean,7,"Maintenance App","Santana Angel"
41916868,"Gulf & Bay Bayside - 1346",,GBB,"08/20/26 10:57 am",,,N/A,"Not Blocked", , ,"primary bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Reclean,7,"Maintenance App","Santana Angel"
41916830,"Gulf & Bay Bayside - 1346",,GBB,"08/20/26 10:52 am",,,N/A,"Not Blocked", , ,"primary bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Reclean,7,"Maintenance App","Santana Angel"
41916573,"Gulf & Bay Bayside - 1339",,GBB,"08/20/26 10:25 am","08/20/26 12:47 pm",,N/A,"Not Blocked", , ,"Air filter",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,7,"Maintenance App","Santana Angel"
41916493,"Gulf & Bay Bayside - 1339",,GBB,"08/20/26 10:21 am",,,N/A,"Not Blocked", , ,dryer,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,7,"Maintenance App","Santana Angel"
41916420,"Gulf & Bay Bayside - 1339",,GBB,"08/20/26 10:12 am",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,7,"Maintenance App","Santana Angel"
41903382,"Bali Poolside",,"Northern Portfolio","08/19/26 03:07 pm","08/19/26 03:07 pm",08/19/26,N/A,"Not Blocked", , ,"ozone machine","Sandra Soria Frausto",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,8,Management,"McNamara Heather"
41902292,"Ocean Eyes",,LUXURY,"08/19/26 02:20 pm","08/19/26 02:20 pm",08/19/26,N/A,"Not Blocked", , ,"partial payment","Gulf Coast Vacation Rentals",N/A,N/A,Yes,"No Charge",Active,Occupied,8,Management,"Consigna Vernice"
41900977,"Gulf & Bay Bayside - 1269",,GBB,"08/19/26 01:00 pm","08/19/26 02:36 pm",08/19/26,N/A,"Not Blocked", , ,"guest bathroom bath door / yellow leak under bathroom sinks","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,8,"Maintenance App","Cleaning Angelscleaning"
41900184,"A Wave from it All",,Seasonal,"08/19/26 12:23 pm",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,8,"Maintenance App","Santana Angel"
41900119,"A Wave from it All",,Seasonal,"08/19/26 12:19 pm",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,8,"Maintenance App","Santana Angel"
41899837,"A Wave from it All",,Seasonal,"08/19/26 12:01 pm",,,N/A,"Not Blocked", , ,"primary bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,8,"Maintenance App","Santana Angel"
41898382,"Bali Poolside",,"Northern Portfolio","08/19/26 10:38 am","08/19/26 02:44 pm",,N/A,"Not Blocked", , ,pool,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,8,"Maintenance App","Santana Angel"
41898349,"Bali Poolside",,"Northern Portfolio","08/19/26 10:35 am",,,N/A,"Not Blocked", , ,pool,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,8,"Maintenance App","Santana Angel"
41898198,"Bali Poolside",,"Northern Portfolio","08/19/26 10:27 am","08/19/26 02:45 pm",,N/A,"Not Blocked", , ,"trash bins","T-Wreckz Junk Removal LLC",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,8,"Maintenance App","Santana Angel"
41898116,"Bali Poolside",,"Northern Portfolio","08/19/26 10:20 am","08/19/26 02:49 pm",,N/A,"Not Blocked", , ,"living room and bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,8,"Maintenance App","Santana Angel"
41896983,"Coastal Oasis",,"Northern Portfolio","08/19/26 08:53 am","08/19/26 08:53 am",08/19/26,N/A,"Not Blocked", , ,"quote for tree trimming","MJ Lawn Care & Tree Service",N/A,N/A,No,"No Charge",Active,Occupied,8,Management,"McNamara Heather"
41880511,Fishtail,,"Central Portfolio","08/18/26 12:14 pm","08/18/26 02:36 pm",,N/A,"Not Blocked", , ,"multiple items from inspection",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,9,"Maintenance App","Matthews Travis"
41879930,"Southern Exposure",,"Northern Portfolio","08/18/26 11:40 am","08/18/26 02:14 pm",,N/A,"Not Blocked", , ,"living room - vent cover","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,9,"Maintenance App","Santana Angel"
41879906,"Gulf & Bay Bayside - 1274",,GBB,"08/18/26 11:38 am",,,N/A,"Not Blocked", , ,"Master bathroom and Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,9,"Maintenance App","Randall Cararese"
41879816,"Southern Exposure",,"Northern Portfolio","08/18/26 11:31 am","08/18/26 11:38 am",08/18/26,N/A,"Not Blocked", , ,"Trash bins","T-Wreckz Junk Removal LLC",N/A,N/A,No,"No Charge",Active,Occupied,9,"Maintenance App","Santana Angel"
41878701,"Gulf & Bay Bayside - 1368",,GBB,"08/18/26 10:18 am","08/18/26 10:18 am",08/18/26,N/A,"Not Blocked", , ,"living room carpet","Carpet Cleaner's Near Me LLC",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,9,Management,"McNamara Heather"
41876983,"Sweet Pineapple",,"Northern Portfolio","08/18/26 07:46 am","08/18/26 07:46 am",08/18/26,N/A,"Not Blocked", , ,"wasp nest","Tropic Pest Control",N/A,N/A,No,"No Charge",Active,Occupied,9,Management,"McNamara Heather"
41876973,"Florida Oasis",,"Northern Portfolio","08/18/26 07:41 am","08/18/26 07:41 am",08/18/26,N/A,"Not Blocked", , ,"hornets nest","Tropic Pest Control",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,9,Management,"McNamara Heather"
41866430,"Residences Of Siesta Key",,LUXURY,"08/17/26 04:26 pm","08/17/26 04:26 pm",,N/A,"Not Blocked", , ,"Freeazer door","Alpha Appliance Solutions LLC",N/A,N/A,No,"No Charge",Active,Occupied,10,Management,"Grajeda Raymundo"
41842815,"Links & Leisure",,Venice,"08/16/26 08:56 am","08/16/26 08:56 am",,N/A,"Not Blocked", , ,"Washer is not working","A-PLUS ACTION APPLIANCE SERVICE AND SALES, INC",N/A,N/A,No,"No Charge",Active,Occupied,11,Management,"Grajeda Raymundo"
41832699,"7th Heaven",,"Northern Portfolio","08/15/26 02:22 pm","08/17/26 08:20 am",,N/A,"Not Blocked", , ,trash,"T-Wreckz Junk Removal LLC",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,12,"Maintenance App","Sierra Mesa Juan"
41831940,"Gulf & Bay Bayside - 1241",,GBB,"08/15/26 01:29 pm",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41831012,"Gulf & Bay Bayside - 1339",,GBB,"08/15/26 12:35 pm",,,N/A,"Not Blocked", , ,"The living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41830135,"Gulf & Bay Bayside - 1340",,GBB,"08/15/26 12:03 pm","08/17/26 12:44 pm",,N/A,"Not Blocked", , ,kitchen,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,12,"Maintenance App","Randall Cararese"
41829180,"Gulf & Bay Bayside - 1343",,GBB,"08/15/26 11:01 am",,,N/A,"Not Blocked", , ,"The guest bathroom vent",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41829077,"Gulf & Bay Bayside - 1351",,GBB,"08/15/26 10:54 am","08/17/26 10:49 am",,N/A,"Not Blocked", , ,kitchen,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,12,"Maintenance App","Matthews Travis"
41829074,"Gulf & Bay Bayside - 1343",,GBB,"08/15/26 10:54 am",,,N/A,"Not Blocked", , ,"Master bathroom Vent",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41829046,"Gulf & Bay Bayside - 1351",,GBB,"08/15/26 10:51 am",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Matthews Travis"
41828876,"Gulf & Bay Bayside - 1240",,GBB,"08/15/26 10:33 am","08/17/26 01:56 pm",,N/A,"Not Blocked", , ,wifi,N/A,N/A,N/A,No,"No Charge",Active,Occupied,12,"Maintenance App","Matthews Travis"
41828689,"Gulf & Bay Bayside - 1358",,GBB,"08/15/26 10:17 am","08/17/26 10:29 am",,N/A,"Not Blocked", , ,"Guest bathroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41828651,"Gulf & Bay Bayside - 1358",,GBB,"08/15/26 10:14 am","08/17/26 10:32 am",,N/A,"Not Blocked", , ,"Master bathroom toilet seat","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41828636,"Gulf & Bay Bayside - 1240",,GBB,"08/15/26 10:12 am","08/17/26 02:02 pm",,N/A,"Not Blocked", , ,lanai,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,12,"Maintenance App","Matthews Travis"
41828411,"Gulf & Bay Bayside - 1358",,GBB,"08/15/26 09:51 am",,,N/A,"Not Blocked", , ,"living room couches",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,12,"Maintenance App","Randall Cararese"
41828004,"Southern Exposure",,"Northern Portfolio","08/15/26 08:55 am","08/15/26 08:55 am",,N/A,"Not Blocked", , ,"Door mat","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,12,Management,"Grajeda Raymundo"
41813893,"Gulf & Bay Bayside - 1364",,GBB,"08/14/26 01:09 pm","08/15/26 11:49 am",,N/A,"Not Blocked", , ,"kitchen cookware",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,13,"Maintenance App","Randall Cararese"
41813052,"Gulf & Bay Bayside - 1373",,GBB,"08/14/26 12:13 pm","08/15/26 10:04 am",,N/A,"Not Blocked", , ,"guest bathroom shower curtain",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,13,"Maintenance App","Randall Cararese"
41813011,"Sandalfoot 3A2",,Sandalfoot,"08/14/26 12:11 pm","08/14/26 12:11 pm",,N/A,"Not Blocked", , ,"reinstall towel rack","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,13,Management,"Garcia Kyle"
41812891,"Gulf & Bay Bayside - 1373",,GBB,"08/14/26 12:04 pm",,,N/A,"Not Blocked", , ,"The vent that's in the hallway for the filter",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,13,"Maintenance App","Randall Cararese"
41812455,"Ospreys Nest",,Seasonal,"08/14/26 11:35 am",,,N/A,"Not Blocked", , ,couch,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,13,"Maintenance App","Santana Angel"
41812398,"Sandalfoot 2A3",,Sandalfoot,"08/14/26 11:32 am",,08/14/26,N/A,"Not Blocked", , ,"slider door won't lock",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,13,"Maintenance App","Garcia Kyle"
41811942,"Ospreys Nest",,Seasonal,"08/14/26 11:07 am","08/15/26 01:18 pm",,N/A,"Not Blocked", , ,HVAC,"Aap Air, LLC",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,13,"Maintenance App","Santana Angel"
41811808,"Gulf & Bay Bayside - 1382",,GBB,"08/14/26 11:02 am",,,N/A,"Not Blocked", , ,"laundry room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,13,"Maintenance App","Randall Cararese"
41810886,Avalon,,"Central Portfolio","08/14/26 09:58 am","08/22/26 10:12 am",,N/A,"Not Blocked", , ,trees,"MJ Lawn Care & Tree Service",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,13,"Maintenance App","Matthews Travis"
41800509,"Sandalfoot 1B2",,Sandalfoot,"08/13/26 04:53 pm","08/13/26 04:53 pm",08/27/26,N/A,"Not Blocked", , ,"TV account correction","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,14,Management,"Yelenich Peyton"
41798143,"Gulf & Bay Bayside - 1200",,GBB,"08/13/26 02:49 pm","08/13/26 02:49 pm",,N/A,"Not Blocked", , ,"AC Clogged drain line","Global Air Conditioning, Inc.",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,14,Management,"Grajeda Raymundo"
41797172,"Gulf & Bay Bayside - 1275",,GBB,"08/13/26 01:52 pm",,,N/A,"Not Blocked", , ,"guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,14,"Maintenance App","Randall Cararese"
41796677,"Harbour Happiness",,"Northern Portfolio","08/13/26 01:29 pm","08/15/26 08:11 am",08/15/26,N/A,"Not Blocked", , ,"primary bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Dirty,14,"Maintenance App","Santana Angel"
41796591,"Harbour Happiness",,"Northern Portfolio","08/13/26 01:23 pm",,,N/A,"Not Blocked", , ,"trash bin",N/A,N/A,N/A,No,"No Charge",Pending,Dirty,14,"Maintenance App","Santana Angel"
